Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Great hotel with great food!,"I liked the rooms- they are spacious, clean, the window view is nice too. The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",,10.0,Sorin,United Kingdom,Double Room with Balcony,7 nights,November 2022,Group,
Clean and cozy hotel with very friendly owner close to sandy beach and the airport.,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.  Our room had a balcony with great view of the sea and surrounding area.,-,10.0,Miriam,Germany,Double Room with Balcony,1 night,November 2022,Couple,
"Friendly, well run family hotel","A family run hotel, with extremely friendly reception and dining staff, very bright, nice seating areas inside and out. Meals well prepared and good value. Bus every 20 minutes to the centre of Larnaka.","Nothing, considering the price",9.0,Thomas,United Kingdom,Double Room with Balcony,1 night,November 2022,Couple,
Nice hotel close to the airport,Close to airport,,8.0,Antti,Finland,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,"location, clean, friendly stuff",,10.0,Ward,Israel,Budget Twin Room,4 nights,November 2022,Solo traveler,
Amazing place and amazing people in this hotel.  Highly recommended!,"The hotel is impressive how clean nice and comfortable it is, however what will bring me back is the staff and the owners.  Richard (the chef) is personally buying super fresh food for the restaurant.  Everything from breakfast to dinner is absolutely delicious. The owners have been super kind to me :)",,10.0,Carolina,Netherlands,Double Room with Balcony,4 nights,November 2022,Solo traveler,
Would stay again for sure 😊,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.","Fridge could have been put on beforehand so it was cold, the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower.
Ordered pizza one night and was not great, too stodgy but I'm sure other food is better. The restaurant area is nice and the staff very accomodating.",9.0,Sonya,United Kingdom,Double Room with Balcony,2 nights,November 2022,Solo traveler,
"Great stay, would recommend .",the beds were very comfortable,,9.0,Jacqueline,Italy,Two-Bedroom Suite,1 night,November 2022,Family,
Exceptional,I loved the mattress!!!,,10.0,Sophia,Greece,Double Room,1 night,November 2022,Family,
Exceptional,Clean and quiet,,10.0,Judit,Hungary,Budget Twin Room,1 night,November 2022,Family,
Great stay,"The hotel is 5 minutes from the beach and the location is also near the lake.
The rooms are a good size and are laid out very well with a good size bathroom
The room also has a great sized balcony to take a tea/coffee and 
chill
There is a great restaurant inside where the food is good and not to pricey. 
The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing 
Keep up the great work 👍🏼🙏",Leaving..in fact just re booked the hotel for 2 weeks time 😁,10.0,J,Thailand,Double Room with Balcony,1 night,November 2022,Family,"Thank you very much for your nice words, we really appreciate your review. we are happy that you had a great stay at the hotel and happy to see you again on December :)"
thoroughly satisfied with our choice of hotel,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",nothing.,10.0,Theresa,Cyprus,Double Room with Balcony,1 night,November 2022,Couple,
Wonderful,Staff is very polite and caring. Thank you,Surrounding buildings are under construction and poorly lit.,9.0,Sisakyan,Armenia,Double Room,1 night,November 2022,Family,
staff was wonderful. very accommodating and the food service and quality was very good. this was our second stay.,very clean functional rooms. lovely and very helpful staff.,I would have liked an ironing board in the room.,9.0,Paraskevou,United States of America,Double Room with Balcony,1 night,November 2022,Couple,
A lovely hotel,Staff were lovely. Service was great.  The room was spotless. Great location for restaurants. Great location for a short drive to the airport.,Not applicable,10.0,Karen,United Kingdom,Double Room,1 night,November 2022,Couple,
Nice vibe,"Clean, comfortable, friendly staff. Great restaurant beneath the hotel - food excellent & reasonably priced. Very close to Mackenzy beach & Larnaca airport. We would definitely stay there again",All good,10.0,Helen,United Kingdom,Double Room with Balcony,2 nights,November 2022,Couple,
Exceptional,The bed was great. Rooms clean. Staff were so kind.,Nothing.,10.0,Christina,Canada,Double Room with Balcony,2 nights,November 2022,Solo traveler,
Highly recommend these apartments.,"Very helpful staff, super clean room with modern furniture all together make your stay max comfortable. Sure worth it to come back again.
Option to have a good breakfast within the hotel save your time.
Highly recommend these apartments.",Little bit noisy during evening time from the street side. I believe it doesn't disturb you in case you choose the garden view apartments or just close the windows and start the air conditioning ),10.0,Vasyl,Ukraine,Double Room with Balcony,4 nights,November 2022,Solo traveler,
group of 5 stayed for 2 night. room was spacious and the beds were comfortable. ideal location as close to the airport a,"welcoming 
value for money 
location",more hooks on walls for towels etc.,8.0,David,United Kingdom,Suite with Balcony,2 nights,November 2022,Group,
Very Good,,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",8.0,G,Cyprus,Double Room,1 night,November 2022,Family,
"We were on 4 days stop over, if on main holiday would book a larger hotel","When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front. The receptionist on check in was very good and explained the information very clearly to us. The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.
The chef was very polite, and his food was excellent, he had passion and it showed in his presentation. We may have missed it but there was no opening and closing times of the bar on display.",Nothing except not showing opening times.,8.0,Victoria,Cyprus,Budget Twin Room,4 nights,October 2022,Couple,
Perfect if you are looking for somewhere close to Larnaca airport,"Really clean ,  lovely caring staff. food was good too!",Nothing really. The bus to the airport is close by and runs every 15 minutes.,9.0,Tim,United Kingdom,Double Room with Balcony,1 night,November 2022,Couple,
perfect location prior to our early morning flight,great rooms - nice and cool,,10.0,Rebecca,United Kingdom,Two-Bedroom Suite,1 night,November 2022,Group,
Very Good,It was really clean and spacious,,8.0,Aleksandr,Turkey,Two-Bedroom Suite,1 night,October 2022,Solo traveler,
"The room was bijou but for the money, served it’s purpose adequately 😀","Nice location, not far from Airport and Mackenzie beach.","My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",8.0,Paulo,Portugal,Double Room with Balcony,3 nights,October 2022,Solo traveler,
Lovely place to stay close to the beach,"Super friendly and helpful staff. A good location 5 lins away from the airport by car, 5 mins walk to the beach. Clean modern rooms, very nice breakfast.","It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards. I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.",9.0,Anastasia,United Kingdom,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,hospitality,clean,10.0,Joseph,Lebanon,Double Room with Balcony,5 nights,October 2022,Solo traveler,
Very Good,clean spacious practical,,8.0,Chahrazade,United Kingdom,Double Room,1 night,October 2022,Solo traveler,
Very Good,"The facilities were really good, particularly for the tariff charged. Was met with a warm welcome at reception and then again by the dining staff.","Outside was a but noisy later in the evening, but that's not within the hotels control",8.0,Moyra,United Kingdom,Double Room with Balcony,1 night,October 2022,Solo traveler,
Freshly renovated and great,"Recently updated, everything was me and clean. Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually. The beach is about 5 minutes walk away.","There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway, but next to no departures in the morning, so not a problem",10.0,James,Ireland,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,Great value for money,,10.0,Ronen,Israel,Double Room with Balcony,1 night,October 2022,Couple,
Wonderful,very helpful staff who organised a taxi to collect us in the morning. Good value for money.,,9.0,Derek,United Kingdom,Double Room,1 night,October 2022,Group,
Grear option near the airport,"Clean and comfortable rooms, lovely owner",,9.0,M,Switzerland,Two-Bedroom Suite,1 night,October 2022,Family,
Great location close to airport and sea,Great location close to the airport and a short walk to the sea. Great value for money. The 2 rooms were big enough for a family of 5.,,9.0,Yafit,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,Great little hotel close to airport,Not very Soundproof,10.0,Sneaky,Cyprus,Double Room,1 night,October 2022,Family,
very good,"Near airport, nice clean room, very well kept. staff very helpful and friendly. good food",,10.0,Mauricio,United States of America,Two-Bedroom Suite,1 night,October 2022,Group,
Exceptional,Everything was good❤❤❤❤,Nothing,10.0,Hamidreza,Austria,Double Room with Balcony,1 night,October 2022,Family,
Exceptional,"nice, renovated hotel, close to the airport and Mackenzie Beach, delicious breakfasts in the hotel restaurant, comfortable bed",,10.0,Karina,Poland,Double Room,2 nights,October 2022,Solo traveler,
Exceptional,Very nice and clean room.,,10.0,Nikos,Cyprus,Double Room with Balcony,1 night,October 2022,Family,
Good for 1 night,Good for airport transfers,A lot of mosquitos,9.0,Kateryna,Cyprus,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. 
beds are extremely comfortable and amazing hospitality from the staff.","given that a lot of guests book here for its prime location near the airport, it would’ve been great if breakfast started at 7 rather than 8. but that’s just a suggestion, everything was perfect
for one nights stay.",10.0,Ahmed,Belgium,Double Room with Balcony,1 night,October 2022,Solo traveler,
"Comfortable, clean, friendly place","Very clean, very comfortable room. Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning. We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from. We will definitely stay here again when we come back to Larnaca.",,10.0,Samuel,United States of America,Double Room with Balcony,1 night,October 2022,Couple,
Very Good,"Close to the airport, the staff were nice and helpful.",The room wasn't soundproof so you can hear the planes.,8.0,Itay,Israel,Double Room with Balcony,1 night,October 2022,Family,
Very nice and good value for money,Close to airport so very convenient for overnight stay. Also very easy to check-in if you arrive late at night,N/a,8.0,Edward,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
Lovely hotel,Arrived in the early hours clear instructions left access to our room made easy 😊,,10.0,Clare,United Kingdom,Double Room with Balcony,1 night,September 2022,Family,
excellent arrangements made to cope with midnight arrival,Excellent range of food offered and good service.,no issues for overnight stay,8.0,Stuart,United Kingdom,Double Room,1 night,October 2022,Couple,
Convenient  night near airport,"Comfortable location near the airport, and near the beach.
Caring and helpful host.
Restaurant on site
Comfortable beds, the best linen and duvets I had
 in my entire 10 day trip.
In room mini bar+ tea/ coffee 
Clean modern bathroom.
Good AC.","We liked La Veranda
Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",9.0,Lydia,Israel,Standard Triple Room,1 night,October 2022,Family,
Was by far too short.I’ll be back in February. Please don’t change anything in the meantime!,It’s been renovated to a exceptionally high standard and it really is well up to 4* standard. Exceptional value .,I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.,10.0,Philip,United Arab Emirates,Budget Twin Room,2 nights,October 2022,Solo traveler,
Cosy new hotel near the airport,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus). We arrived late and were super hungry, so we decided to eat in the place at the ground floor. Even though the kitchen was closing, they made us a pizza which was really nice. The room was new and clean, the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.","If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport, so you can hear all the noise from the planes.",10.0,Nataliya,Israel,Double Room,1 night,October 2022,Couple,
would definitely be staying here again. planning more trips to Cyprus and this is among our first choices of stay,"The property was clean, bed was comfortable and the food and staff were really good. Location was great and easy to get to and from.",n/A,10.0,Joshua,United Kingdom,Double Room with Balcony,9 nights,October 2022,Couple,
Le Veranda a welcome rest and refresh,"The location was perfect for the airport as we were flying out to uk. The entrance to the hotel is welcoming and the bar and coffee shop chic.
The gentleman  in reception was very friendly and had a lovely smile. 
The place was spotless and very comfortable. 
I would definitely recommend it and will be staying here again.
The fish and steak restaurant around the corner was also great value and friendly.",,9.0,Oonagh,Cyprus,Double Room,1 night,October 2022,Couple,
amazing,friendly staff,nothing so far,8.0,Chouity,Qatar,Budget Twin Room,2 nights,October 2022,Solo traveler,
Exceptional,"Friendly, good value, clean",,10.0,Julie,United Kingdom,Double Room,1 night,October 2022,Solo traveler,
Exceptional,"The place and the people are lovely, I couldn't ask for more during my stay especially with such a price.",,10.0,Ynaiim,Lebanon,Double Room with Balcony,1 night,September 2022,Couple,
Holiday,Peaceful and clean friendly helpful staff,Nothing,10.0,Sally,United Kingdom,Double Room with Balcony,3 nights,October 2022,Family,
direct bus access to the airport,"We arrived after midnight. Got very clear instructions how to get access to our room. The staff of the hotel is extremely friendly and nice.
The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.","there is no shop or pharmacy in the area, but the accommodation cannot do anything about this. overall, we are extremely satisfied.",10.0,Voko,Hungary,Double Room,2 nights,September 2022,Couple,
Wonderful,I arrived late. I received very clear instructions how to enter the hotel and access my room.,,9.0,Michael,Lebanon,Double Room,1 night,October 2022,Solo traveler,
Exceptional,Lovely staff doing best to assist always. wonderful room.,,10.0,Mads,Denmark,Double Room with Balcony,1 night,September 2022,Solo traveler,
Excellent stay,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well. Regarding the rooms - very clean and cozy ones, with comfortable beds. Furthermore, there is a restaurant in the hotel with delicious food. The staff of the hotel is extremely friendly and nice.",-,10.0,Yoana,Bulgaria,Double Room,1 night,September 2022,Couple,
Very Good,,Disappointed we didn't have a balcony,8.0,Juan,Cyprus,Double Room,1 night,October 2022,Couple,Thank you for your comment.  we have options of rooms with and without balcony. You choose the room without balcony in your reservation and we provided you the appropriate room accordingly.
"Nice, clean hotel, efficient and respectful staff",Feels new and clean with perfect location nearby the beach 🏖,,10.0,Marwan,Jordan,Double Room with Balcony,1 night,October 2022,Solo traveler,
Exceptional,The staff is very VERY helpful and eager to assist. All went amazing!,we’d love to stay longer 🥲,10.0,Hanna,Belarus,Double Room with Balcony,3 nights,October 2022,Solo traveler,
perfect,"Nice friendly staff. clean, nice room, big bathroom",nothing,10.0,Kevin,United Kingdom,Standard Triple Room,1 night,October 2022,Family,
Exceptional,New clean setup with friendly helpful staff,All good,10.0,Omid,United Arab Emirates,Double Room with Balcony,4 nights,October 2022,Family,
High quality/price ratio.,"It is a new hotel. Everything was clean. 
We had dinner. It was delicious and inexpensive. 
Mc Kenzie Beach within walking distance.",,9.0,S,Netherlands,Budget Twin Room,1 night,September 2022,Couple,
"Quaint, clean, comfortable bright room with great WiFi and AC.",Close to the airport and clean spacious rooms.,No 24 hour reception so not easy to access entry at odd hours.,8.0,Zainab,United Kingdom,Two-Bedroom Suite,1 night,September 2022,Group,
everything perfect,"Amazing staff 
super clean 
modern 
great location",,10.0,Patrycja,United States of America,Double Room with Balcony,1 night,September 2022,Couple,
Wonderful,Stuff was very nice and friendly. Room was clean and comfortable.,The location was a little bit far from the centre.,9.0,Vaghinak,Armenia,Double Room,3 nights,September 2022,Couple,
My stay was very good and I most certainly will go back to this hotel again when I go to Larnaca,"The breakfast was very good plenty of selection and very good staff serving you as a values customer and so very polite and caring at all times. Could not seem to do enough for their guests, Every thing was spotless clean in the breakfast room","The only thing was they did not a have pool, but however had plenty of chairs to sot on outside in the garden which also was spotlessly clean everywhere too.",10.0,Deacon,United Kingdom,Double Room with Balcony,9 nights,September 2022,Solo traveler,
Very Good,"Good food in the restaurant downstairs, friendly personnel",The room wasn't clean when we checked in. So they finished the cleaning after our complaint,8.0,Nikolaj,Slovakia,Double Room with Balcony,7 nights,August 2022,Family,"Thank you for your comments; actually the check-in time at the hotel is 2pm. You told us that you plan to arrive at 11 AM, we tried to make the room ready upon your arrival but  this depends on the check-out  of the guest occupying the room before you, as the check-out time is 12pm.  We are sorry we couldn’t satisfy you in this matter."
Wonderful,,Lovely little hotel with very friendly staff. Breakfast was excellent.,9.0,Jacqui,United Kingdom,Double Room with Balcony,1 night,September 2022,Couple,
Nice Stay,"Super friendly staff, nice restaurant.",,10.0,Anna,United Kingdom,Double Room,1 night,September 2022,Solo traveler,
Exceptional,Clean comfortable little hotel. Lovely friendly staff. Good location and easily reached from the airport.,Nothing. It was perfect for my stay.,9.6,Sarah,United Kingdom,Double Room with Balcony,1 night,September 2022,Solo traveler,
"Clean, friendly, great price","We had a horrible 4am arrival, instructions for access were sent in advance and absolutely perfect. In a clean, comfortable bed within minutes of arrival.",N/a,10.0,Merrony,United Kingdom,Budget Twin Room,1 night,September 2022,Family,
very comfortable,"position,staff and very clean",parking not always easy,10.0,Kevin,United Kingdom,Budget Twin Room,1 night,September 2022,Couple,
We arrived really late at night and the bar stayed open and even made us some food .,"Close to Larnaca airport. 
Very nice rooms that were very clean. 
helpful, friendly staff.",,10.0,Andrea,United Kingdom,Double Room with Balcony,1 night,September 2022,Couple,
Very Good,"we did late night check in, that was super easy and comfortable",it was a bit badly soundproofed,8.0,Lina,Germany,Budget Twin Room,1 night,September 2022,Couple,
Very clean and welcoming place to wait for your coming flight,"New room, very comfortable. Nice restaurant in the same building very welcoming with nice offer. Bus stop for the airport walkable.
Francais parlé parfaitement",The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,8.0,Anne-caroline,France,Double Room with Balcony,1 night,September 2022,Family,
Exceptional,"The best hotel at Mackenzie! Amazing staff, modern facility and very tasty food with a super service at the restaurant by the hotel.",,10.0,Anna,Russia,Double Room with Balcony,2 nights,June 2022,Solo traveler,
"great value, clean and comfy airport hotel - would recommend",clean and quiet - perfect location for the airport,,9.0,Charlotte,United Kingdom,Double Room with Balcony,1 night,September 2022,Couple,
very cute,"the staff is very nice, the room is very comfortable.",some of the towels were dirty,9.0,Sharon,Israel,Double Room with Balcony,1 night,September 2022,Couple,
Wonderful,"The food we had was excellent, service was excellent we will go back.",,9.0,Mr,United Kingdom,Double Room with Balcony,11 nights,September 2022,Couple,
Wonderful,"We used the hotel only for one night because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake which I wished to visit but didn't have time. The Hotel itself was very nice, spacious, clean and modern. Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.",,9.0,Miriam,Czech Republic,Budget Twin Room,1 night,September 2022,Solo traveler,
worth it!!!,very clean and the staff was wonderful,...,8.0,Flavio,Italy,Double Room with Balcony,1 night,September 2022,Couple,
It was incredible!,"really clean, exceptional staff, incredibly polite, highly recommend",,10.0,Pavel,Bulgaria,Double Room with Balcony,3 nights,September 2022,Couple,
Absolutely loved my stay at La Veranda. The location was perfect.,The staff were very hospitable and very helpful.,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,9.0,Melissa,United Kingdom,Double Room,9 nights,August 2022,Group,
Pleasant stay!,"Nice modern and clean rooms. The location is excellent close to Airport, Makenzie  beach and touristic area, and bus stop going from Airport to town is few meters away. Very friendly staff.
Highly recommended.",Nothing,10.0,Michelle,Lebanon,Double Room,1 night,September 2022,Couple,
Very Good,"The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace.
Sinks and toilette separated by a door inside the bathroom.",No soap or shampoo in the shower. There was hand soap instead.,8.0,Luca,Italy,Suite with Balcony,1 night,August 2022,Group,
Exceptional,"Quiet place, good rooms",,10.0,Taras,Ukraine,Double Room with Balcony,1 night,September 2022,Family,
Short&sweet,"We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. The staff was super nice, the rooms were very clean and the bathroom was spacious.",I liked everything about the property,10.0,Nadja,Serbia,Double Room,1 night,September 2022,Couple,
Accommodation in a residential area near the airport,We used the accommodation for one night before departure. The advantage is the proximity to the airport—very comfortable beds.,"The hotel staff should learn better English - confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered.",9.0,Lenka,Czech Republic,Two-Bedroom Suite,1 night,September 2022,Family,
Freshly redocorated hotel with large rooms and very convenient for the airport.,Rooms large and newly redecorated in a contemporary style. Bed very comfortable. Very convenient for the airport. Breakfast was excellent.,Nothing,9.0,Rosalyn,Cyprus,Double Room with Balcony,1 night,September 2022,Couple,
"brilliant place to stay,great proximity to airport,beaches and restaurants",everything,nothing,9.0,Kevin,United Kingdom,Double Room with Balcony,2 nights,September 2022,Couple,
Exceptional,"Clean hotel, lovely rooms with comfortable beds. Great location for overnight stay for late flights. Very helpful staff",,10.0,Lisa,United Kingdom,Double Room with Balcony,1 night,September 2022,Family,
Great place near the airport,"I went there while on transit in Larnaca, the building is completely refurbished, it is confortable and the self check in was very easy.",,10.0,Robchahine,Lebanon,Double Room,1 night,September 2022,Solo traveler,
Very good basic hotel if you just need a comfortable room for a night,spotlessly clean. Excellent for airport and Mackenzie beach,Nothing,8.0,Cathy,Cyprus,Double Room,1 night,September 2022,Couple,
excellent,recently refurbished,"very nice restaurant, good food and service",9.0,Arunas,United Kingdom,Double Room,1 night,August 2022,Couple,
Excellent 👍,"Everything was very good. Staff very polite and helpful. Rooms are clean. Breakfast was delicious. Hotel is near to the beach, airport and bus station.",,10.0,Jelena,Serbia,Double Room,2 nights,August 2022,Family,
Wonderful,"I really enjoyed this place. It didn't have a pool but it was 10 minutes from the airport by taxi, 15 by shuttle bus. There are also connecting buses from ayia napa to this hotel via Larnaca which we used for our early morning start from Larnaca Airport. McKenzie beach is close by, and the food restaurants off the opposite beach were only a ten minute walk.
Air con and fridge in rooms with a bottle of water provided. 
Perfect for our short stay and the hotel was immaculately clean. I was particularly impressed when the staff emailed me via booking.com and after asking me what time I was arriving (the hotel is not manned 24/7 but arrangements are made to collect your room key in the hotel if you are arriving outside of normal hours), told me which bus routes I needed to take.
Very impressed however anything longer than a 2 night stay and you may get a little bored.
Highly recommended",I have no complaints. 👍,9.0,Gary,United Kingdom,Two-Bedroom Suite,1 night,September 2022,Family,
Exceptional,"Stuff in the hotel were very helpful and nice, my stay in la veranda was perfect, mackenzie beach is few minutes, airport near, best location in larnaca.",,10.0,Sasha,Serbia,Double Room,3 nights,September 2022,Solo traveler,
Perfect location,"clean, air conditioned, close to the airport",,10.0,Petya,Austria,Standard Triple Room,1 night,August 2022,Family,
The perfect hotel next to the airport,"The location next to the airport is great for flights very early in the morning, because it only takes you 5 minutes to get to the airport. 
The beach is a 10 minutes walk away",,8.0,Nicole,Austria,Double Room,1 night,August 2022,Couple,
"perfect choice, good job guys!","location near the airport and beach 10/10.
front desk are absolutely perfect 10/10
hotel restaurant delicious! 10/10
the room perfect! 
nothing to say,",,10.0,Ilan,Israel,Double Room with Balcony,1 night,August 2022,Couple,
A warm welcome and a great place to stay!,"The room was clean and comfortable with everything I needed including a fridge and kettle. The shower was great, the air con worked well. It's in a great location for the airport and the beach. But what made La Veranda stand out was the fantastic service, they couldn't have been friendlier, kinder or more helpful and it made a massive difference for me as they were able to accommodate my specific needs, for which I was extremely grateful!",I liked everything!,10.0,Alice,United Kingdom,Double Room,2 nights,July 2022,Solo traveler,
Wonderful,Helpful staff and close to airport,The room was small but adequate,9.0,James,United States of America,Budget Twin Room,1 night,August 2022,Group,
"Super clean, new rooms, lacks some amenities","- Super clean
- Decent sized rooms
- New rooms (flat tv, touch buttons for cleaning etc, generally nothing was old)",- No hair shampoo and in general only the basic amenities,8.0,Marios,Cyprus,Double Room with Balcony,1 night,August 2022,Couple,
Absolutely perfect - thank you,Very clean and super friendly staff. Would recommend,Nothing,10.0,Neo,United Kingdom,Double Room with Balcony,1 night,August 2022,Couple,
Wonderful,Nice and simple hotel. Very convenient location close to the airport. The front desk was very friendly and helpful.,The area was a little noisy when we stayed there.,9.0,Raanan,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
