PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType
Reviewed,Reviewed,10,Yoana,Bulgaria,Double Room,1,Sep-22,Couple
Not Reviewed,Reviewed,8,Juan,Cyprus,Double Room,1,Oct-22,Couple
Reviewed,Not Reviewed,10,Marwan,Jordan,Double Room with Balcony,1,Oct-22,Solo traveler
Reviewed,Reviewed,10,Hanna,Belarus,Double Room with Balcony,3,Oct-22,Solo traveler
Reviewed,Reviewed,10,Kevin,United Kingdom,Standard Triple Room,1,Oct-22,Family
Reviewed,Reviewed,10,Omid,United Arab Emirates,Double Room with Balcony,4,Oct-22,Family
Reviewed,Not Reviewed,9,S,Netherlands,Budget Twin Room,1,Sep-22,Couple
Reviewed,Reviewed,8,Zainab,United Kingdom,Two-Bedroom Suite,1,Sep-22,Group
Reviewed,Not Reviewed,10,Patrycja,United States of America,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,9,Vaghinak,Armenia,Double Room,3,Sep-22,Couple
Reviewed,Reviewed,10,Deacon,United Kingdom,Double Room with Balcony,9,Sep-22,Solo traveler
Reviewed,Reviewed,8,Nikolaj,Slovakia,Double Room with Balcony,7,Aug-22,Family
Not Reviewed,Reviewed,9,Jacqui,United Kingdom,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Not Reviewed,10,Anna,United Kingdom,Double Room,1,Sep-22,Solo traveler
Reviewed,Reviewed,9.6,Sarah,United Kingdom,Double Room with Balcony,1,Sep-22,Solo traveler
Reviewed,Reviewed,10,Merrony,United Kingdom,Budget Twin Room,1,Sep-22,Family
Reviewed,Reviewed,10,Kevin,United Kingdom,Budget Twin Room,1,Sep-22,Couple
Reviewed,Not Reviewed,10,Andrea,United Kingdom,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,8,Lina,Germany,Budget Twin Room,1,Sep-22,Couple
Reviewed,Reviewed,8,Anne-caroline,France,Double Room with Balcony,1,Sep-22,Family
Reviewed,Not Reviewed,10,Anna,Russia,Double Room with Balcony,2,Jun-22,Solo traveler
Reviewed,Not Reviewed,9,Charlotte,United Kingdom,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,9,Sharon,Israel,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Not Reviewed,9,Mr,United Kingdom,Double Room with Balcony,11,Sep-22,Couple
Reviewed,Not Reviewed,9,Miriam,Czech Republic,Budget Twin Room,1,Sep-22,Solo traveler
Reviewed,Reviewed,8,Flavio,Italy,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Not Reviewed,10,Pavel,Bulgaria,Double Room with Balcony,3,Sep-22,Couple
Reviewed,Reviewed,9,Melissa,United Kingdom,Double Room,9,Aug-22,Group
Reviewed,Reviewed,10,Michelle,Lebanon,Double Room,1,Sep-22,Couple
Reviewed,Reviewed,8,Luca,Italy,Suite with Balcony,1,Aug-22,Group
Reviewed,Not Reviewed,10,Taras,Ukraine,Double Room with Balcony,1,Sep-22,Family
Reviewed,Reviewed,10,Nadja,Serbia,Double Room,1,Sep-22,Couple
Reviewed,Reviewed,9,Lenka,Czech Republic,Two-Bedroom Suite,1,Sep-22,Family
Reviewed,Reviewed,9,Rosalyn,Cyprus,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,9,Kevin,United Kingdom,Double Room with Balcony,2,Sep-22,Couple
Reviewed,Not Reviewed,10,Lisa,United Kingdom,Double Room with Balcony,1,Sep-22,Family
Reviewed,Not Reviewed,10,Robchahine,Lebanon,Double Room,1,Sep-22,Solo traveler
Reviewed,Reviewed,8,Cathy,Cyprus,Double Room,1,Sep-22,Couple
Reviewed,Reviewed,9,Arunas,United Kingdom,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Jelena,Serbia,Double Room,2,Aug-22,Family
Reviewed,Reviewed,9,Gary,United Kingdom,Two-Bedroom Suite,1,Sep-22,Family
Reviewed,Not Reviewed,10,Sasha,Serbia,Double Room,3,Sep-22,Solo traveler
Reviewed,Not Reviewed,10,Petya,Austria,Standard Triple Room,1,Aug-22,Family
Reviewed,Not Reviewed,8,Nicole,Austria,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Ilan,Israel,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,10,Alice,United Kingdom,Double Room,2,Jul-22,Solo traveler
Reviewed,Reviewed,9,James,United States of America,Budget Twin Room,1,Aug-22,Group
Reviewed,Reviewed,8,Marios,Cyprus,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,10,Neo,United Kingdom,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,9,Raanan,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Not Reviewed,10,Amal,Lebanon,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,10,Dear_d,Serbia,Double Room with Balcony,9,Aug-22,Family
Reviewed,Reviewed,9,Beatrice,Belgium,Double Room with Balcony,1,Aug-22,Solo traveler
Reviewed,Not Reviewed,10,Parisimo,United Kingdom,Double Room with Balcony,1,Aug-22,Group
Reviewed,Not Reviewed,10,Hassan,Lebanon,Double Room,1,Aug-22,Solo traveler
Reviewed,Not Reviewed,10,Stalo,Cyprus,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,9,Darya,Cyprus,Double Room with Balcony,2,Aug-22,Solo traveler
Reviewed,Reviewed,9,Ioan-cristian,Romania,Double Room with Balcony,4,Aug-22,Couple
Reviewed,Not Reviewed,10,Cristina-,Netherlands,Double Room with Balcony,1,Aug-22,Solo traveler
Reviewed,Reviewed,9,Ido,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Not Reviewed,10,Koulla,United Kingdom,Double Room with Balcony,12,Aug-22,Couple
Reviewed,Not Reviewed,10,Andrzej,United Kingdom,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Not Reviewed,10,Shalom,Israel,Family Suite with Balcony,1,Aug-22,Family
Reviewed,Reviewed,9,Ilaria,Romania,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Joanna,Poland,Double Room,2,Aug-22,Solo traveler
Reviewed,Reviewed,8,Oren,Cyprus,Two-Bedroom Suite,1,Aug-22,Solo traveler
Reviewed,Not Reviewed,10,Yulia,Russia,Double Room,1,Aug-22,Family
Reviewed,Reviewed,10,Brigitta,United Kingdom,Two-Bedroom Suite,9,Aug-22,Family
Reviewed,Reviewed,9,Ismail,France,Standard Triple Room,1,Aug-22,Group
Reviewed,Not Reviewed,10,Andrew,United Kingdom,Two-Bedroom Suite,1,Aug-22,Group
Reviewed,Not Reviewed,9,David,Israel,Suite with Balcony,1,Aug-22,Family
Reviewed,Reviewed,10,Silviu,Romania,Double Room with Balcony,9,Aug-22,Couple
Reviewed,Reviewed,10,Shaun,United Kingdom,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Elihana,United States of America,Standard Triple Room,1,May-22,Family
Reviewed,Reviewed,10,Lisdy,Venezuela,Standard Triple Room,1,Jun-22,Family
Reviewed,Reviewed,10,Lisa,United Kingdom,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,10,Osher,Israel,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Chiaki,United Kingdom,Standard Triple Room,1,Jul-22,Family
Reviewed,Reviewed,9,Sapir,Israel,Double Room,1,Jul-22,Group
Reviewed,Reviewed,10,Emma,United Kingdom,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Reviewed,8,Kenneth,Spain,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Daniel,Spain,Double Room with Balcony,1,Jul-22,Family
Reviewed,Not Reviewed,10,Alexandre,Lebanon,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Natalija,Slovenia,Standard Triple Room,2,Jul-22,Family
Reviewed,Not Reviewed,10,Geraldine,Australia,Double Room,3,Jul-22,Solo traveler
Reviewed,Not Reviewed,9,Jesper,Sweden,Double Room,1,Jul-22,Couple
Reviewed,Reviewed,10,Rob,New Zealand,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Reviewed,10,Natalia,Cyprus,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,9,Fabian,Germany,Double Room,1,Jun-22,Solo traveler
Reviewed,Not Reviewed,10,Joanna,United Kingdom,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Reviewed,10,Joanna,United Kingdom,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Al-fulaij,Kuwait,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Reviewed,10,Thakrar,Cyprus,Two-Bedroom Suite,1,Jul-22,Group
Reviewed,Reviewed,10,Serge,Lebanon,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Victoria,Lebanon,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Reviewed,10,Rebecca,United States of America,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Alexander,Israel,Double Room,1,Jul-22,Solo traveler
Reviewed,Reviewed,9,Jakubfl_87,Czech Republic,Double Room,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Richard,Germany,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Reviewed,10,Miriam,United States of America,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Reviewed,10,Kristina,Cyprus,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Anna,Cyprus,Double Room with Balcony,1,Jul-22,Group
Reviewed,Not Reviewed,8,Eva,Cyprus,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Reviewed,8,Antonio,Sweden,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Nancy,United Kingdom,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Reviewed,8,Blackers09,United Kingdom,Double Room with Balcony,1,Jun-22,Solo traveler
Reviewed,Reviewed,8,Beliz,Cyprus,Double Room,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Diana,Cyprus,Suite with Balcony,1,Jul-22,Group
Reviewed,Not Reviewed,10,Sigitas,Lithuania,Double Room with Balcony,1,Jul-22,Group
Reviewed,Not Reviewed,9,Or,Germany,Double Room with Balcony,7,Jul-22,Solo traveler
Reviewed,Not Reviewed,9,Florin,Romania,Standard Triple Room,7,Jul-22,Family
Reviewed,Reviewed,10,Felisa,United States of America,Double Room with Balcony,2,Jul-22,Solo traveler
Reviewed,Not Reviewed,9,Maria,United States of America,Budget Twin Room,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Jonathan,United States of America,Double Room,1,Jul-22,Group
Reviewed,Not Reviewed,10,Emma,United Kingdom,Double Room,1,Jul-22,Family
Reviewed,Not Reviewed,10,Emma,United Kingdom,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Reviewed,8,Rosalyn,Cyprus,Double Room,1,Jul-22,Couple
Reviewed,Not Reviewed,9,Alastal,United Kingdom,Standard Triple Room,1,Jul-22,Family
Reviewed,Not Reviewed,10,Jamar,France,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Raymond,United Kingdom,Suite with Balcony,1,Jul-22,Family
Reviewed,Not Reviewed,9,Chris,Bulgaria,Double Room with Balcony,3,Jul-22,Couple
Reviewed,Reviewed,10,George,United Kingdom,Double Room with Balcony,1,Jun-22,Solo traveler
Not Reviewed,Reviewed,9,Dimo,Bulgaria,Budget Twin Room,3,Jun-22,Couple
Reviewed,Not Reviewed,10,Edwin,Sweden,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Arash,Finland,Two-Bedroom Suite,8,Jul-22,Family
Reviewed,Not Reviewed,10,Natalie,Cyprus,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Stelios,United Kingdom,Two-Bedroom Suite,4,Jun-22,Family
Reviewed,Reviewed,9,Tomislav,"Abkhazia, ​Georgia",Two-Bedroom Suite,1,Jun-22,Family
Reviewed,Not Reviewed,10,Kaya,Israel,Double Room with Balcony,1,Jun-22,Family
Reviewed,Not Reviewed,10,Daniel,Finland,Double Room,1,Jun-22,Couple
Reviewed,Not Reviewed,9,Lucinda,United Kingdom,Double Room with Balcony,1,Jun-22,Couple
Reviewed,Not Reviewed,8,Nathan,Canada,Double Room with Balcony,1,Jun-22,Solo traveler
Reviewed,Not Reviewed,9,Viktorijadan,United Kingdom,Double Room,1,Jun-22,Couple
Reviewed,Not Reviewed,9,Mcgregor,United Kingdom,Double Room with Balcony,1,Jun-22,Solo traveler
Reviewed,Reviewed,8,Ashraf,Israel,Budget Twin Room,3,Jun-22,Solo traveler
Reviewed,Reviewed,8,Vandewiele,Bulgaria,Double Room with Balcony,1,Jun-22,Couple
Reviewed,Not Reviewed,10,Екатерина,Russia,Family Suite with Balcony,1,Jun-22,Family
Reviewed,Reviewed,10,Katarzyna,United Kingdom,Double Room,2,Jun-22,Couple
Reviewed,Reviewed,10,Kelly,United Kingdom,Two-Bedroom Suite,1,May-22,Group
Reviewed,Reviewed,8,Hutter,Romania,Double Room with Balcony,7,Jun-22,Family
Reviewed,Not Reviewed,9,Joanna,United Kingdom,Double Room,1,May-22,Solo traveler
Reviewed,Not Reviewed,9,Dean,United Kingdom,Double Room,1,May-22,Couple
Reviewed,Not Reviewed,9,Xu,China,Double Room with Balcony,1,Jun-22,Couple
Reviewed,Reviewed,10,Hadjikyriacou,Cyprus,Double Room with Balcony,1,Jun-22,Family
Reviewed,Reviewed,10,Maria,Greece,Double Room with Balcony,1,May-22,Solo traveler
Reviewed,Reviewed,10,Britta,Germany,Double Room with Balcony,1,Jun-22,Group
Reviewed,Reviewed,9,Shaun,United Kingdom,Double Room with Balcony,2,Jun-22,Solo traveler
Reviewed,Reviewed,9,Richard,United Kingdom,Double Room with Balcony,1,May-22,Couple
Reviewed,Not Reviewed,9,Eliel,Israel,Double Room,1,Jun-22,Couple
Reviewed,Not Reviewed,10,Maxime,France,Double Room with Balcony,1,Jun-22,Group
Reviewed,Reviewed,9,Rosalyn,Cyprus,Double Room with Balcony,1,Jun-22,Couple
Reviewed,Reviewed,10,Gary,United Kingdom,Double Room,1,Jun-22,Couple
Reviewed,Reviewed,9,Travelling,Sweden,Double Room with Balcony,3,May-22,Couple
Reviewed,Not Reviewed,10,Corinne,United Kingdom,Suite with Balcony,1,Jun-22,Family
Reviewed,Reviewed,10,Jean-claude,Switzerland,Standard Triple Room,1,Jun-22,Family
Reviewed,Not Reviewed,9,Sigitas,Lithuania,Suite with Balcony,1,Jun-22,Family
Reviewed,Reviewed,9,Michelle,United Kingdom,Double Room with Balcony,1,May-22,Couple
Reviewed,Not Reviewed,9,Allan,Cyprus,Double Room with Balcony,1,May-22,Couple
Reviewed,Reviewed,10,Baldur,Iceland,Two-Bedroom Suite,1,May-22,Family
Reviewed,Reviewed,9,Leah,United Kingdom,Suite with Balcony,1,May-22,Family
Reviewed,Reviewed,10,Mark,United Kingdom,Double Room with Balcony,3,May-22,Couple
Reviewed,Not Reviewed,10,Marwan,Jordan,Double Room with Balcony,4,May-22,Solo traveler
Reviewed,Reviewed,10,David,Australia,Double Room,1,May-22,Solo traveler
Reviewed,Not Reviewed,10,Caren,United Kingdom,Double Room,1,May-22,Group
Reviewed,Reviewed,8,Yoojin,Finland,Double Room,1,May-22,Couple
Reviewed,Reviewed,8,Nicholas,United Kingdom,Double Room,2,May-22,Solo traveler
Reviewed,Reviewed,10,Anna,United Kingdom,Double Room with Balcony,2,May-22,Solo traveler
Reviewed,Reviewed,9,Lauralaura,Belgium,Double Room,1,May-22,Solo traveler
Reviewed,Reviewed,8,Tatiana,Cyprus,Double Room with Balcony,1,May-22,Group
Reviewed,Reviewed,10,Melanie,United Kingdom,Double Room with Balcony,1,May-22,Couple
Not Reviewed,Reviewed,8,Georges,Lebanon,Double Room with Balcony,1,May-22,Couple
Reviewed,Reviewed,10,Andrei,Romania,Double Room with Balcony,7,May-22,Couple
Reviewed,Reviewed,9,Cynthia,United States of America,Double Room with Balcony,1,May-22,Family
Reviewed,Reviewed,10,Jose,United Kingdom,Double Room with Balcony,1,May-22,Couple
Reviewed,Reviewed,10,Diana,Czech Republic,Double Room with Balcony,1,May-22,Solo traveler
Reviewed,Not Reviewed,9,Antony,Cyprus,Budget Twin Room,2,May-22,Couple
Reviewed,Not Reviewed,10,Bschleifer,United States of America,Double Room with Balcony,1,May-22,Group
Reviewed,Not Reviewed,10,Silvester,Slovenia,Double Room,1,May-22,Couple
Reviewed,Not Reviewed,8,Cathy,Cyprus,Double Room with Balcony,1,May-22,Couple
Reviewed,Reviewed,9,Maha,Cyprus,Double Room,1,May-22,Solo traveler
Reviewed,Reviewed,10,Roger,United Kingdom,Double Room with Balcony,2,Apr-22,Couple
Reviewed,Not Reviewed,10,Olga,Germany,Double Room with Balcony,1,May-22,Couple
Reviewed,Reviewed,9,Amanda,United Kingdom,Double Room,1,May-22,Couple
Reviewed,Not Reviewed,9,Lorraine,United Kingdom,Double Room,1,Apr-22,Couple
Reviewed,Reviewed,10,Kata,Hungary,Double Room,2,Apr-22,Couple
Reviewed,Reviewed,10,Tom,United Kingdom,Double Room with Balcony,1,Apr-22,Couple
Reviewed,Not Reviewed,9,Laszlo,Hungary,Suite with Balcony,3,Apr-22,Family
Reviewed,Not Reviewed,10,Phil,Germany,Family Suite with Balcony,1,Apr-22,Group
Reviewed,Reviewed,10,Roger,United Kingdom,Double Room with Balcony,1,Apr-22,Couple
Reviewed,Not Reviewed,10,Anita,Czech Republic,Family Suite with Balcony,1,Apr-22,Family
Reviewed,Not Reviewed,8,Bahar,Cyprus,Standard Triple Room,1,Apr-22,Family
Reviewed,Not Reviewed,8,Line,United Kingdom,Double Room with Balcony,1,Apr-22,Couple
Reviewed,Not Reviewed,9,טוהר,Israel,Double Room,3,Apr-22,Couple
Reviewed,Not Reviewed,8,Rohini,United Kingdom,Family Suite with Balcony,1,Mar-22,Family
Reviewed,Reviewed,10,Ian,United Kingdom,Double Room with Balcony,5,Apr-22,Couple
Reviewed,Reviewed,10,Esme,United Kingdom,Standard Triple Room,1,Apr-22,Family
Reviewed,Not Reviewed,9,Olena,Ukraine,Double Room,3,Feb-22,Family
Reviewed,Not Reviewed,10,Hikmat,Lebanon,Double Room,1,Apr-22,Solo traveler
Reviewed,Reviewed,10,Joe,Lebanon,Double Room,1,Apr-22,Solo traveler
Reviewed,Not Reviewed,10,Charbel,France,Double Room,1,Apr-22,Solo traveler
Reviewed,Not Reviewed,10,Dayane,Lebanon,Double Room,1,Apr-22,Solo traveler
Reviewed,Not Reviewed,10,Dayane,Lebanon,Double Room,1,Apr-22,Solo traveler
Reviewed,Reviewed,8,Andrew,United Kingdom,Double Room with Balcony,2,Mar-22,Solo traveler
Reviewed,Reviewed,9,Yogev,Israel,Double Room,4,Mar-22,Solo traveler
Reviewed,Not Reviewed,9,Sophie,Austria,Double Room,1,Mar-22,Couple
Reviewed,Not Reviewed,8,Timothy,United States of America,Double Room with Balcony,1,Mar-22,Couple
Reviewed,Reviewed,8,Katie,United Kingdom,Two-Bedroom Suite,1,Feb-22,Family
Reviewed,Not Reviewed,10,Lisa,United Kingdom,Double Room,1,Feb-22,Solo traveler
Reviewed,Not Reviewed,9,Joanna,Poland,Double Room,1,Feb-22,Couple
Reviewed,Reviewed,10,Ukd03,United Kingdom,Double Room,1,Feb-22,Solo traveler
Reviewed,Reviewed,8,Jennifer,France,Family Suite with Balcony,1,Feb-22,Family
Reviewed,Reviewed,8,Rumen,Bulgaria,Double Room,1,Feb-22,Solo traveler
Reviewed,Not Reviewed,9,Andrew,United Kingdom,Double Room with Balcony,1,Feb-22,Group
Reviewed,Reviewed,8,Cyprus007,Cyprus,Double Room with Balcony,1,Jan-22,Couple
Reviewed,Not Reviewed,8,Mirosław,Poland,Double Room with Balcony,1,Dec-21,Group
Reviewed,Reviewed,10,Shuowei,United Kingdom,Double Room,1,Dec-21,Solo traveler
Reviewed,Not Reviewed,10,Yazmina,United Kingdom,Double Room,1,Dec-21,Solo traveler
Reviewed,Not Reviewed,10,Vitaliy,Ukraine,Standard Triple Room,1,Dec-21,Family
Reviewed,Reviewed,8,Terence,Cyprus,Double Room with Balcony,1,Dec-21,Couple
Reviewed,Reviewed,10,Gerard,Ireland,Double Room,1,Dec-21,Solo traveler
Reviewed,Reviewed,8,Luca,Netherlands,Double Room,1,Nov-21,Couple
Reviewed,Reviewed,10,Yulia,Russia,Double Room with Balcony,9,Dec-21,Solo traveler
Not Reviewed,Reviewed,10,Chrystalla,Cyprus,Double Room with Balcony,1,Dec-21,Solo traveler
Reviewed,Not Reviewed,10,Jorge,United Kingdom,Double Room,1,Dec-21,Couple
